date,Hifi Finance crypto,Unibot crypto,Akropolis crypto,Nest Protocol crypto,Groestlcoin crypto,isPartial,BlockBank crypto,Symbol crypto,Dusk Network crypto,Metal crypto,Merit Circle crypto,isPartial,NvirWorld crypto,Automata Network crypto,Wing Finance crypto,Helium crypto,SafePal crypto,isPartial,Cronos crypto,TrueFi crypto,Swop.fi crypto,Voyager Token crypto,Render Token crypto,isPartial,IoTeX crypto,Midnight crypto,Numeraire crypto,SPACE ID crypto,Ambrosus crypto,isPartial,My Neighbor Alice crypto,Gods Unchained crypto,Kadena crypto,Bella Protocol crypto,Bluzelle crypto,isPartial,Polkastarter crypto,Solana crypto,Santos FC Fan Token crypto,aelf crypto,Prosper crypto,isPartial,Pendle crypto,FIO Protocol crypto,BarnBridge crypto,1inch Token crypto,Arkham crypto,isPartial,Unifi Protocol DAO crypto,Audius crypto,JOE crypto,Atletico Madrid Fan Token crypto,Gitcoin crypto,isPartial,Open Campus crypto,Verge crypto,Reef Finance crypto,Ren crypto,SOLVE crypto,isPartial
2023-03-14,0,0,0,0,0,False,0,18,0,0,0,False,0,0,0,30,0,False,38,0,0,0,0,False,0,0,0,0,0,False,0,33,0,0,0,False,0,19,0,0,0,False,0,0,0,0,0,False,0,0,0,0,13,False,0,0,0,32,11,False
2023-03-15,0,0,0,0,0,False,15,23,0,0,16,False,0,18,34,62,19,False,23,31,0,0,21,False,0,10,0,9,0,False,30,0,17,0,0,False,0,19,0,0,0,False,0,0,0,7,5,False,0,0,12,0,0,False,0,0,0,18,0,False
2023-03-16,0,0,0,31,0,False,0,0,0,0,23,False,0,0,0,0,0,False,29,0,0,0,0,False,0,0,0,36,39,False,42,14,0,0,14,False,2,18,0,0,0,False,0,0,0,0,6,False,0,0,0,0,0,False,0,0,12,0,10,False
2023-03-17,0,0,0,0,0,False,0,15,0,0,0,False,0,0,0,90,0,False,15,0,0,0,0,False,38,0,14,0,0,False,0,0,26,0,0,False,0,19,0,0,0,False,9,0,6,0,0,False,0,0,10,0,0,False,0,11,0,20,11,False
2023-03-18,0,0,27,0,0,False,16,15,0,0,0,False,0,0,0,53,0,False,0,0,0,0,0,False,0,0,13,20,0,False,0,0,0,0,0,False,0,22,0,0,0,False,0,0,5,0,0,False,11,0,24,0,0,False,0,46,0,0,11,False
2023-03-19,29,0,0,50,0,False,14,34,14,0,13,False,0,0,0,19,0,False,0,0,0,0,0,False,0,0,0,15,0,False,0,0,0,0,0,False,0,15,0,0,0,False,5,0,0,0,0,False,0,0,31,0,11,False,0,0,0,17,0,False
2023-03-20,0,0,73,0,40,False,0,73,0,0,0,False,0,18,0,100,0,False,44,20,0,0,19,False,0,19,0,0,0,False,0,0,0,0,0,False,0,31,0,0,0,False,0,7,0,14,0,False,0,0,17,0,0,False,0,0,0,55,39,False
2023-03-21,0,0,0,0,0,False,0,33,0,34,26,False,0,0,0,44,46,False,41,0,0,0,0,False,14,0,0,25,0,False,0,0,0,0,0,False,0,27,0,5,0,False,0,0,0,0,0,False,0,0,54,0,35,False,0,0,0,0,0,False
2023-03-22,0,35,0,0,0,False,0,29,0,0,0,False,0,0,0,46,0,False,23,0,0,0,0,False,0,0,0,100,0,False,43,0,18,0,48,False,0,18,0,0,3,False,0,0,0,0,0,False,0,0,10,0,0,False,0,0,0,34,0,False
2023-03-23,15,0,0,0,0,False,0,28,0,19,0,False,0,0,0,0,26,False,0,0,0,0,0,False,0,0,0,84,14,False,23,0,0,0,28,False,3,24,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,24,0,False
2023-03-24,0,0,0,0,0,False,0,19,0,0,0,False,0,0,0,39,33,False,0,0,0,25,0,False,0,0,0,12,0,False,0,0,0,0,37,False,0,14,0,0,0,False,0,0,0,0,0,False,0,0,23,0,14,False,0,0,15,18,0,False
2023-03-25,0,0,0,0,0,False,0,0,17,0,0,False,0,0,0,20,0,False,0,23,0,0,28,False,0,10,0,0,0,False,0,0,13,0,0,False,0,11,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False,0,0,0,0,0,False
